Type,Price,Location,Bedrooms,Bathrooms
Type,Price,Location,Bedrooms,Bathrooms
House,"$85,000","Stueng Mean chey, Meanchey, Phnom Penh",2,2
House,"$155,000","Kakab 1, Por Sen Chey, Phnom Penh",2,2
House,"$50,000","Preaek Kampues, Dangkao, Phnom Penh",2,2
House,"$90,000","Meanchey, Phnom Penh",4,4
House,"$54,500","Kamboul, Por Sen Chey, Phnom Penh",2,2
House,"$93,555","Dangkao, Dangkao, Phnom Penh",2,2
House,"$169,000","Dangkao, Phnom Penh",3,3
House,"$83,500","Meanchey, Phnom Penh",2,2
House,"$52,000","Chrang Chamres 2, Russey Keo, Phnom Penh",2,2
House,"$68,000","Kakap, Por Sen Chey, Phnom Penh",2,2
House,"$85,000","Por Sen Chey, Phnom Penh",2,2
House,"$50,000","Sen Sok, Phnom Penh",2,2
House,"$80,000","Boeung Salang, Toul Kork, Phnom Penh",3,3
House,"$600,000","Tuek L'ak 2, Toul Kork, Phnom Penh",4,4
House,"$37,000","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
House,"$98,000","Krang Thnong, Sen Sok, Phnom Penh",2,2
House,"$115,000","Tuol Sangke, Russey Keo, Phnom Penh",4,4
House,"$73,000","Krang Thnong, Sen Sok, Phnom Penh",3,3
House,"$120,000","Krang Thnong, Sen Sok, Phnom Penh",2,2
House,"$90,000","Veal Sbov, Chbar Ampov, Phnom Penh",2,2
House,"$150,000","Boeung Tumpun 2, Meanchey, Phnom Penh",5,5
House,"$62,000","Khmuonh, Sen Sok, Phnom Penh",3,3
House,"$110,000","Krang Thnong, Sen Sok, Phnom Penh",4,4
House,"$123,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$63,000","Kamboul, Por Sen Chey, Phnom Penh",4,4
House,"$1,200,000","Boeung Salang, Toul Kork, Phnom Penh",5,5
House,"$95,000","Boeung Tumpun, Meanchey, Phnom Penh",4,4
House,"$77,500","Nirouth, Chbar Ampov, Phnom Penh",3,3
House,"$169,000","Prey Sa, Dangkao, Phnom Penh",5,5
House,"$108,000","Preaek Kampues, Dangkao, Phnom Penh",4,4
House,"$155,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
House,"$138,000","Dangkao, Phnom Penh",4,4
House,"$225,000","Khmuonh, Sen Sok, Phnom Penh",4,4
House,"$137,000","Boeung Tumpun 1, Meanchey, Phnom Penh",5,5
House,"$240,000","Khmuonh, Sen Sok, Phnom Penh",4,4
House,"$220,000","Boeung Tumpun, Meanchey, Phnom Penh",5,5
House,"$165,000","Chaom Chau, Por Sen Chey, Phnom Penh",4,4
House,"$75,000","Kamboul, Por Sen Chey, Phnom Penh",4,4
House,"$58,000","Stueng Mean chey 3, Meanchey, Phnom Penh",2,2
Twin Villa,"$300,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$710,000","Boeung Kak 1, Toul Kork, Phnom Penh",6,6
Twin Villa,"$293,700","Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$390,000"," Tuek Thla, Sen Sok, Phnom Penh",5,5
Shophouse,"$580,000"," Tuek L'ak 3, Toul Kork, Phnom Penh",5,5
Villa,"$1,200,000","Nirouth, Chbar Ampov, Phnom Penh",5,5
Villa,"$3,950,000","Preaek Aeng, Chbar Ampov, Phnom Penh",7,7
