Type,Price,Location,Bedrooms,Bathrooms
Type,Price,Location,Bedrooms,Bathrooms
Shophouse,"$135,000"," Kamboul, Por Sen Chey, Phnom Penh",4,4
Shophouse,"$750,000","Chak Angrae Kraom, Meanchey, Phnom Penh",5,5
House,"$510,000","390 390, BKK 3, Chamkarmon, Phnom Penh",²,²
Villa,"$5,700,000"," Nirouth, Chbar Ampov, Phnom Penh",9,9
Villa,"$5,700,000"," Nirouth, Chbar Ampov, Phnom Penh",9,9
Twin Villa,"$450,000","2004 , Ou Baek K'am, Sen Sok, Phnom Penh",4,4
Twin Villa,"$400,000","2004 , Ou Baek K'am, Sen Sok, Phnom Penh",4,4
Link House,"$405,000","Chak Angrae Kraom, Meanchey, Phnom Penh",4,4
House,"$288,000","Toul Tum Poung 1, Chamkarmon, Phnom Penh",7,7
House,"$280,000","Pong Tuek, Dangkao, Phnom Penh",6,6
Shophouse,"$300,000","Toul PongRo Toul PongRo, Prey Sa, Dangkao, Phnom Penh",5,5
Villa,"$980,000","Cheung Aek, Dangkao, Phnom Penh",5,5
Villa,"$780,000","Nirouth, Chbar Ampov, Phnom Penh",5,5
Twin Villa,"$350,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$889,000"," Tuol Sangkae 2, Russey Keo, Phnom Penh",6,6
Twin Villa,"$304,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$520,000","Chak Angrae Kraom, Meanchey, Phnom Penh",5,5
Twin Villa,"$340,000","Cheung Aek, Dangkao, Phnom Penh",5,5
Twin Villa,"$294,900"," Tuek Thla, Sen Sok, Phnom Penh",4,4
Link House,"$290,000","Tuek Thla, Sen Sok, Phnom Penh",3,3
Twin Villa,"$409,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Villa,"$235,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
Villa,"$62,000"," Samraong Kraom, Por Sen Chey, Phnom Penh",2,2
Villa,"$185,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$203,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$6,934,500","Chroy Changvar, Chroy Changvar, Phnom Penh",1,1
House,"$440,000","Veal Vong, 7 Makara, Phnom Penh",2,2
House,"$400,000","BKK 3, Chamkarmon, Phnom Penh",6,6
Villa,"$870,000"," Phsar Daeum Kor, Toul Kork, Phnom Penh",3,3
Villa,"$1,100,000"," Ou Baek K'am, Sen Sok, Phnom Penh",5,5
House,"$125,000","Boeung Tumpun, Meanchey, Phnom Penh",5,5
Shophouse,"$365,000","Chak Angrae Kraom, Meanchey, Phnom Penh",4,4
Shophouse,"$253,000"," Chbar Ampov I, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$162,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",3,3
Villa,"$990,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
Twin Villa,"$309,000"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Shophouse,"$399,500"," Krang Thnong, Sen Sok, Phnom Penh",7,7
Shophouse,"$225,000"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Villa,"$114,000"," Krang Thnong, Sen Sok, Phnom Penh",3,3
Villa,"$205,000"," Kouk Khleang, Sen Sok, Phnom Penh",4,4
Villa,"$89,900"," Dangkao, Dangkao, Phnom Penh",4,4
House,"$68,000"," Nirouth, Chbar Ampov, Phnom Penh",2,2
Twin Villa,"$235,000","Stueng Mean chey 2, Meanchey, Phnom Penh",4,4
Twin Villa,"$340,000","Cheung Aek, Dangkao, Phnom Penh",²,²
Shophouse,"$176,500"," Dangkao, Dangkao, Phnom Penh",4,4
Link House,"$110,000","sab 12 Tonle, Chroy Changvar, Chroy Changvar, Phnom Penh",E,E
Twin Villa,"$290,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Villa,"$185,000"," Stueng Mean chey, Meanchey, Phnom Penh",3,3
Twin Villa,"$385,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
Villa,"$1,300,000"," Stueng Mean chey, Meanchey, Phnom Penh",5,5
Villa,"$1,250,000"," Stueng Mean chey, Meanchey, Phnom Penh",5,5
Twin Villa,"$250,000"," Dangkao, Dangkao, Phnom Penh",5,5
Villa,"$4,990,000","Kbal Kaoh, Chbar Ampov, Phnom Penh",5,5
Villa,"$950,000"," Chrang Chamres I, Russey Keo, Phnom Penh",6,6
Villa,"$920,000"," Chrang Chamres I, Russey Keo, Phnom Penh",6,6
Link House,"$118,000"," Chrang Chamres I, Russey Keo, Phnom Penh",6,6
Twin Villa,"$329,900"," Khmuonh, Sen Sok, Phnom Penh",4,4
Link House,"$130,000"," Chrang Chamres I, Russey Keo, Phnom Penh",3,3
Link House,"$120,000"," Chrang Chamres I, Russey Keo, Phnom Penh",3,3
Link House,"$135,000","114 st114, Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
Villa,"$185,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Link House,"$185,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Twin Villa,"$400,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$2,500,000","Toul Tum Poung 1, Chamkarmon, Phnom Penh",4,4
Shophouse,"$650,000","185 វេងស្រេង, Chaom Chau 2, Por Sen Chey, Phnom Penh",3,3
Twin Villa,"$255,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$205,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Shophouse,"$162,000"," Khmuonh, Sen Sok, Phnom Penh",3,3
Shophouse,"$285,000"," Ou Baek K'am, Sen Sok, Phnom Penh",4,4
Villa,"$205,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Link House,"$185,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Link House,"$100,000"," Chrang Chamres I, Russey Keo, Phnom Penh",3,3
Shophouse,"$550,000","150 , Tuek L'ak 2, Toul Kork, Phnom Penh",6,6
Villa,"$355,000"," Cheung Aek, Dangkao, Phnom Penh",4,4
Project,,"  , Tuol Sangkae 1, Russey Keo, Phnom Penh",7,7
Shophouse,"$280,000"," Dangkao, Dangkao, Phnom Penh",4,4
Shophouse,"$93,000","1 1, Chroy Changvar, Chroy Changvar, Phnom Penh",6,6
Shophouse,"$175,000"," Svay Pak, Russey Keo, Phnom Penh",6,6
Villa,"$162,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$1,500,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Shophouse,"$175,000","Preaek Pnov, Prek Pnov, Phnom Penh",4,4
Villa,"$688,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$550,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Shophouse,"$335,000"," Dangkao, Dangkao, Phnom Penh",6,6
Twin Villa,"$330,000","Cheasophara 598, Tuol Sangkae 1, Russey Keo, Phnom Penh",4,4
Twin Villa,"$275,000","Cheasophara 598, Tuol Sangkae 1, Russey Keo, Phnom Penh",4,4
Villa,"$117,000"," Prey Sa, Dangkao, Phnom Penh",4,4
Twin Villa,"$450,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Twin Villa,"$275,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Villa,"$107,000"," Tuol Sangke, Russey Keo, Phnom Penh",2,2
Villa,"$118,000"," Bak Kaeng, Chroy Changvar, Phnom Penh",3,3
Villa,"$148,000"," Tuol Sangke, Russey Keo, Phnom Penh",4,4
Villa,"$155,000"," Stueng Mean chey, Meanchey, Phnom Penh",3,3
Shophouse,"$345,000"," Dangkao, Dangkao, Phnom Penh",6,6
Villa,"$118,000"," Tuol Sangke, Russey Keo, Phnom Penh",2,2
Twin Villa,"$265,000"," Dangkao, Dangkao, Phnom Penh",4,4
Villa,"$1,950,000"," Nirouth, Chbar Ampov, Phnom Penh",6,6
Villa,$18/m²,"ហាណូយ 000, Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
Twin Villa,"$285,000"," St.50m , Cheung Aek, Dangkao, Phnom Penh",4,4
Twin Villa,"$330,000","Cheasophara 598, Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Twin Villa,"$319,800"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Twin Villa,"$2,400,000"," Nirouth, Chbar Ampov, Phnom Penh",6,6
Villa,"$159,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Twin Villa,"$282,000"," Krang Pongro, Dangkao, Phnom Penh",5,5
Villa,"$179,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
Twin Villa,"$409,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Twin Villa,"$290,000"," Dangkao, Dangkao, Phnom Penh",4,4
Shophouse,"$139,900"," Chaom Chau, Por Sen Chey, Phnom Penh",4,4
Shophouse,"$260,000","Nirouth, Chbar Ampov, Phnom Penh",5,5
Shophouse,"$260,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$32,460,000"," Chakto Mukh, Daun Penh, Phnom Penh",4,4
Shophouse,"$230,000","Cheasophara 598, Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Link House,"$248,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
Villa,"$980,000"," Boeung Kak 2, Toul Kork, Phnom Penh",7,7
Twin Villa,"$350,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Twin Villa,"$370,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$2,000,000"," Boeung Trabek, Chamkarmon, Phnom Penh",6,6
Villa,"$240,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",5,5
House,"$187,000","Try Heng 2011, Krang Thnong, Sen Sok, Phnom Penh",4,4
Villa,"$205,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Shophouse,"$120,000"," Dangkao, Dangkao, Phnom Penh",4,4
Villa,"$1,100,000","Cheasophara 598, Chrang Chamres I, Russey Keo, Phnom Penh",6,6
Twin Villa,"$475,000"," Dangkao, Dangkao, Phnom Penh",4,4
Shophouse,"$239,000"," Tuol Sangke, Russey Keo, Phnom Penh",5,5
House,"$280,000"," 335, Boeung Kak 2, Toul Kork, Phnom Penh",5,5
House,"$470,000","Hunsen 60m Samdach, Chak Angrae Kraom, Meanchey, Phnom Penh",5,5
Villa,"$3,950,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",7,7
Villa,"$209,000"," Ou Baek K'am, Sen Sok, Phnom Penh",4,4
Villa,"$119,900"," Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
Villa,"$395,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
Villa,"$65,000"," Preaek Pnov, Prek Pnov, Phnom Penh",4,4
Villa,"$108,000"," Chaom Chau, Por Sen Chey, Phnom Penh",3,3
Shophouse,"$187,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$157,000"," Kamboul, Por Sen Chey, Phnom Penh",4,4
Twin Villa,"$329,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
Twin Villa,"$294,900"," Tuek Thla, Sen Sok, Phnom Penh",4,4
House,"$83,000","Tuek L'ak 3, Toul Kork, Phnom Penh",5,5
Villa,"$320,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$5,000,000","Tuol Sangkae 2, Russey Keo, Phnom Penh",7,7
Villa,"$420,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",3,3
House,"$40,000"," 15 , Preaek Kampues, Dangkao, Phnom Penh",2,2
House,"$219,500","P05 5, Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
ShophousePOA,POA," 199 , Toul Svay Prey 2, Chamkarmon, Phnom Penh",1,1
Villa,"$165,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$105,000"," Tuol Sangke, Russey Keo, Phnom Penh",2,2
Villa,"$99,000"," Tuol Sangke, Russey Keo, Phnom Penh",3,3
Twin Villa,"$3,200,000","Boeng Reang, Daun Penh, Phnom Penh",9,9
Villa,"$3,500,000"," Tonle Bassac, Chamkarmon, Phnom Penh",5,5
Shophouse,"$380,000","Toul Tum Poung 1, Chamkarmon, Phnom Penh",4,4
Twin Villa,"$428,000"," Dangkao, Dangkao, Phnom Penh",4,4
Villa,"$215,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Twin Villa,"$269,000"," Dangkao, Dangkao, Phnom Penh",4,4
Villa,"$899,900"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$179,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
Twin Villa,"$285,000"," Dangkao, Dangkao, Phnom Penh",4,4
Twin Villa,"$259,900"," Dangkao, Dangkao, Phnom Penh",5,5
Shophouse,"$185,000"," Svay Pak, Russey Keo, Phnom Penh",6,6
Villa,"$1,300,000"," Phsar Daeum Thkov, Chamkarmon, Phnom Penh",6,6
Link House,"$95,000","81 190, Stueng Mean chey 1, Meanchey, Phnom Penh",6,6
Twin Villa,"$250,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Villa,"$1,500,000"," Boeung Tumpun, Meanchey, Phnom Penh",8,8
Villa,"$850,000"," Boeung Tumpun, Meanchey, Phnom Penh",3,3
Link House,"$165,000","4 27 លេខ, Stueng Mean chey 3, Meanchey, Phnom Penh",5,5
Twin Villa,"$295,000"," Chrang Chamres I, Russey Keo, Phnom Penh",5,5
Link House,"$165,000","លេខ 4 27, Stueng Mean chey 3, Meanchey, Phnom Penh",5,5
Villa,"$219,900"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Villa,"$230,000"," Dangkao, Dangkao, Phnom Penh",4,4
Twin Villa,"$420,000"," Nirouth, Chbar Ampov, Phnom Penh",6,6
Shophouse,"$110,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$280,000"," Chak Angrae Leu, Meanchey, Phnom Penh",4,4
Villa,"$850,000"," Tuek Thla, Sen Sok, Phnom Penh",6,6
Shophouse,"$250,000"," Prey Sa, Dangkao, Phnom Penh",4,4
Twin Villa,"$260,000"," Preaek Kampues, Dangkao, Phnom Penh",4,4
Villa,"$180,000"," Nirouth, Chbar Ampov, Phnom Penh",3,3
House,"$265,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
Villa,"$2,000,000"," Tonle Bassac, Chamkarmon, Phnom Penh",4,4
House,"$255,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
Shophouse,"$1,100,000","BKK 1, Chamkarmon, Phnom Penh",5,5
Shophouse,"$200,000","BKK 2, Chamkarmon, Phnom Penh",1,1
Shophouse,"$11,000,000","BKK 1, Chamkarmon, Phnom Penh",4,4
Shophouse,"$149,900"," Chaom Chau, Por Sen Chey, Phnom Penh",4,4
Twin Villa,"$419,000"," Kouk Khleang, Sen Sok, Phnom Penh",4,4
Twin Villa,"$319,500"," Kouk Khleang, Sen Sok, Phnom Penh",4,4
Twin Villa,"$388,000"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Villa,"$160,000"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Villa,"$1,449,900"," Kouk Khleang, Sen Sok, Phnom Penh",4,4
Villa,"$112,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",3,3
Villa,"$835,000"," Dangkao, Dangkao, Phnom Penh",5,5
Shophouse,"$1,848,000"," Boeng Reang, Daun Penh, Phnom Penh",4,4
Twin Villa,"$690,000"," Nirouth, Chbar Ampov, Phnom Penh",8,8
Villa,"$116,000"," Tuol Sangke, Russey Keo, Phnom Penh",3,3
House,"$365,000"," Stueng Mean chey, Meanchey, Phnom Penh",2,2
Shophouse,"$209,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$105,000"," Spean Thma, Dangkao, Phnom Penh",3,3
Shophouse,"$160,000"," Boeung Tumpun, Meanchey, Phnom Penh",4,4
House,"$55,000"," Dangkao, Dangkao, Phnom Penh",2,2
Twin Villa,"$330,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Villa,"$870,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Villa,"$145,000"," Preaek Kampues, Dangkao, Phnom Penh",3,3
Villa,"$166,000"," Preaek Kampues, Dangkao, Phnom Penh",3,3
Villa,"$265,000","Preaek Aeng, Chbar Ampov, Phnom Penh",3,3
Villa,"$390,000"," Boeung Kak 1, Toul Kork, Phnom Penh",5,5
Twin Villa,"$390,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$175,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
Shophouse,"$119,900"," Kamboul, Por Sen Chey, Phnom Penh",4,4
Villa,"$425,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$530,000"," Chaom Chau, Por Sen Chey, Phnom Penh",7,7
House,"$330,000","101 101, Boeung Trabek, Chamkarmon, Phnom Penh",3,3
Twin Villa,"$470,000"," Dangkao, Dangkao, Phnom Penh",4,4
Villa,"$235,000"," Ou Baek K'am, Sen Sok, Phnom Penh",4,4
Villa,"$700,000","Boeung Salang, Toul Kork, Phnom Penh",4,4
Villa,"$2,500,000"," Toul Tum Poung 1, Chamkarmon, Phnom Penh",4,4
Villa,"$310,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Twin Villa,"$328,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
Villa,"$4,000,000"," BKK 1, Chamkarmon, Phnom Penh",1,1
Twin Villa,"$258,000"," Bak Kaeng, Chroy Changvar, Phnom Penh",4,4
Twin Villa,"$275,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Shophouse,"$349,900"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Villa,"$105,000"," Dangkao, Dangkao, Phnom Penh",4,4
House,"$160,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",3,3
Shophouse,"$1,000,000","BKK 1, Chamkarmon, Phnom Penh",3,3
House,"$1,675,800"," BKK 1, Chamkarmon, Phnom Penh",2,2
Shophouse,"$1,100,000"," BKK 1, Chamkarmon, Phnom Penh",4,4
Villa,"$669,000","Krang Thnong, Sen Sok, Phnom Penh",6,6
House,"$1,300,000"," Chakto Mukh, Daun Penh, Phnom Penh",6,6
House,"$280,000","Phsar Chas, Daun Penh, Phnom Penh",4,4
Villa,"$2,800,000"," Boeng Reang, Daun Penh, Phnom Penh",4,4
Villa,"$2,800,000","Boeng Reang, Daun Penh, Phnom Penh",4,4
Villa,"$75,000"," Chaom Chau, Por Sen Chey, Phnom Penh",2,2
Villa,"$410,000"," Prey Sa, Dangkao, Phnom Penh",5,5
Villa,"$395,000"," Russey Keo, Russey Keo, Phnom Penh",4,4
Twin Villa,"$275,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Shophouse,"$185,000","Preaek Ta Sek, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$185,000"," Preaek Ta Sek, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$185,000"," Preaek Ta Sek, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$1,500,000","Boeng Reang, Daun Penh, Phnom Penh",0,0
Shophouse,"$1,500,000","Boeng Reang, Daun Penh, Phnom Penh",0,0
House,"$105,000"," Chaom Chau, Por Sen Chey, Phnom Penh",4,4
Villa,"$182,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",3,3
Villa,"$580,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$250,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
Villa,"$299,900"," Krang Thnong, Sen Sok, Phnom Penh",4,4
House,"$399,500"," Trapeang Krasang, Por Sen Chey, Phnom Penh",5,5
House,"$115,000"," Kamboul, Por Sen Chey, Phnom Penh",4,4
Villa,"$182,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",3,3
Shophouse,"$1,848,000","Boeng Reang, Daun Penh, Phnom Penh",4,4
Shophouse,"$930,000","BKK 1, Chamkarmon, Phnom Penh",0,0
Shophouse,"$185,000"," Preaek Ta Sek, Chroy Changvar, Phnom Penh",4,4
Shophouse,"$150,000","Nirouth, Chbar Ampov, Phnom Penh",5,5
Shophouse,"$1,675,800","BKK 1, Chamkarmon, Phnom Penh",5,5
Villa,"$349,000","Nirouth, Chbar Ampov, Phnom Penh",6,6
Villa,"$349,000","Nirouth, Chbar Ampov, Phnom Penh",6,6
Link House,"$110,000","ផ្លូវ183 13, Veal Sbov, Chbar Ampov, Phnom Penh",3,3
Link House,"$110,000","ផ្លូវ183 13, Veal Sbov, Chbar Ampov, Phnom Penh",3,3
Link House,"$110,000","ផ្លូវ183 13, Veal Sbov, Chbar Ampov, Phnom Penh",3,3
Twin Villa,"$420,000","Nirouth, Chbar Ampov, Phnom Penh",7,7
Twin Villa,"$319,500"," Khmuonh, Sen Sok, Phnom Penh",4,4
Twin Villa,"$195,000"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Twin Villa,"$384,900"," Tuek Thla, Sen Sok, Phnom Penh",4,4
Villa,"$675,000"," Khmuonh, Sen Sok, Phnom Penh",5,5
Twin Villa,"$429,500"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Twin Villa,"$319,500"," Khmuonh, Sen Sok, Phnom Penh",4,4
Villa,"$355,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Twin Villa,"$180,000","Nirouth, Chbar Ampov, Phnom Penh",5,5
Shophouse,"$150,000","Nirouth, Chbar Ampov, Phnom Penh",5,5
