,mark,model,year,type,condition,fuel,Transmission,color,price
64,Car Makes:Land Rover,Car Model:Range Rover Vogue,Year:2015,Tax Type:Tax Paper,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$79,000"
65,Car Makes:Hyundai,Car Model:Starex H1,Year:2017,Tax Type:Tax Paper,Condition:Used,Body Type:MPV (Minivan),Fuel:Petrol,Transmission:Auto,"$18,500"
66,Car Makes:Ford,Car Model:Ranger,Year:2010,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$13,200"
67,Car Makes:Mazda,Car Model:Mazda3,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$19,500"
68,Car Makes:Ford,Car Model:Territory,Year:2021,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$36,500"
69,Car Makes:Toyota,Car Model:Camry,Year:2003,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Manual,Color:Silver,"$10,500"
70,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$12,700"
71,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$17,000"
72,Car Makes:Kia,Car Model:Ray,Year:2012,Tax Type:Plate Number,Condition:Used,Body Type:Other,Fuel:Petrol,Transmission:Auto,"$9,250"
73,Car Makes:Toyota,Car Model:Tacoma,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$9,850"
74,Car Makes:Toyota,Car Model:RAV4,Year:2000,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$6,800"
