Price,Size,Location,Type,Title,Property ID,Original ID,Listed,Updated
40000,3000,Kampot,Land for Sale,Soft Title,8606051,,08-May-23,
85000,257,Kandal,Land for Sale,Hard Title,9394683,,08-May-23,
570460,2593,Siem Reap,Land for Sale,Hard Title,8639805,,08-May-23,
23000,2593,Kampong Chhnang,Land for Sale,Soft Title,8574759,,08-May-23,
450000,188,Phnom Penh,Land for Sale,Hard Title,7948110,,08-May-23,
42757400,305410,Phnom Penh,Land for Sale,Soft Title,8629778,,08-May-23,
825600,1920,Phnom Penh,Land for Sale,Soft Title,8664177,,08-May-23,
315000,7000,Phnom Penh,Land for Sale,Hard Title,8936597,,08-May-23,
28000,2000,Kampong Chhnang,Land for Sale,Soft Title,9322651,,08-May-23,
35000,230,Kampong Speu,Land for Sale,Soft Title,9141261,,08-May-23,
12000,800,Kampong Chhnang,Land for Sale,Soft Title,9322713,,08-May-23,
4940000,520,Kampong Speu,Land for Sale,Soft Title,8642194,,08-May-23,
5400000,600,Kampong Chhnang,Land for Sale,Soft Title,9322771,,08-May-23,
700000,200,Kampong Chhnang,Land for Sale,Soft Title,9319876,,08-May-23,
289900,100,Kampong Chhnang,Land for Sale,Soft Title,8740088,,08-May-23,
950000,4000,Phnom Penh,Land for Sale,Soft Title,8199427,,08-May-23,
50000,50000,Mondulkiri,Land for Sale,Soft Title,9357759,,08-May-23,
436050,4590,Siem Reap,Land for Sale,Soft Title,9211110,,08-May-23,
19500,123,Kandal,Land for Sale,Soft Title,7793836,,08-May-23,
450000,30000,Kampot,Land for Sale,Soft Title,9138900,,08-May-23,
39500,2500,Kampot,Land for Sale,Soft Title,9228116,,08-May-23,
4250000,3400,Phnom Penh,Land for Sale,Hard Title,8061856,,08-May-23,
6500000,2600,Phnom Penh,Land for Sale,Soft Title,8061863,,08-May-23,
1400000,2600,Phnom Penh,Land for Sale,Hard Title,8196963,,08-May-23,
587300,839,Kampot,Land for Sale,Soft Title,8544032,,08-May-23,
140000,4200,Kampot,Land for Sale,Hard Title,8818534,,08-May-23,
180000,281,Siem Reap,Land for Sale,Soft Title,9157455,,08-May-23,
19280,200,Kandal,Land for Sale,Soft Title,8554578,,08-May-23,
44880,42900,Battambang,Land for Sale,Hard Title,8579916,,08-May-23,
9999,5,Battambang,Land for Sale,Soft Title,7514913,,08-May-23,
250000,5,Phnom Penh,Land for Sale,Soft Title,8010768,,08-May-23,
697500,9300,Kandal,Land for Sale,Soft Title,8012603,,08-May-23,
550000,100000,Takeo,Land for Sale,Soft Title,8059739,,08-May-23,
3024000,1512,Phnom Penh,Land for Sale,Hard Title,9193082,,08-May-23,
60000,15000,Stung Treng,Land for Sale,Soft Title,8522206,,08-May-23,
2800000,400000,Stung Treng,Land for Sale,Hard Title,8522208,,08-May-23,
240000,1900,Preah Sihanouk,Land for Sale,Soft Title,9146948,,08-May-23,
17500,30,Kampong Thom,Land for Sale,Soft Title,9298256,,08-May-23,
10000,1296,Svay Rieng,Land for Sale,Soft Title,9032230,,08-May-23,
10000,1296,Svay Rieng,Land for Sale,Soft Title,9032182,,08-May-23,
3599600,400,Kampong Speu,Land for Sale,Hard Title,9111740,,08-May-23,
115000,1000,Banteay Meanchey,Land for Sale,Soft Title,9143215,,08-May-23,
12500,100,Phnom Penh,Land for Sale,Hard Title,8547501,,08-May-23,
410085,27339,Kampong Chhnang,Land for Sale,Soft Title,8061809,,08-May-23,
65000,244,Preah Sihanouk,Land for Sale,Soft Title,9383587,,08-May-23,
128000,1450,Kandal,Land for Sale,Hard Title,7990911,,08-May-23,
14000,100,Kandal,Land for Sale,Soft Title,9351322,,08-May-23,
297240,14862,Prey Veng,Land for Sale,Soft Title,9390871,,08-May-23,
34874,658,Battambang,Land for Sale,Hard Title,8040081,,08-May-23,
2751000,11004,Kandal,Land for Sale,Hard Title,9044015,,08-May-23,
9500000,9387,Phnom Penh,Land for Sale,Hard Title,9193170,,08-May-23,
11000,5,Kandal,Land for Sale,Soft Title,9026067,,08-May-23,
27500,5,Ratanakiri,Land for Sale,Hard Title,9198631,,08-May-23,
740223,61728,Pursat,Land for Sale,Soft Title,8655558,,08-May-23,
