Price,Price per m2,Location,Type,Title,Property ID,Original ID,Listed,Updated
"16,000",,"Ponsang, Prek Pnov, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223067,3 months ago,3 months ago
"75,000",,"Spean Thma, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223061,3 months ago,3 months ago
"47,600",,"Prey Veaeng, Dangkao, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223060,3 months ago,3 months ago
"250,000",,"Prey Sa, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223014,3 months ago,3 months ago
"30,000",,"Preaek Kampues, Dangkao, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223010,3 months ago,3 months ago
"38,000",,"Kouk Khleang, Sen Sok, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223009,3 months ago,3 months ago
"220,000",,"Chaom Chau 2, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223007,3 months ago,3 months ago
"23,000",,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222884,3 months ago,3 months ago
"760,000",,"Chaom Chau 1, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222881,3 months ago,3 months ago
"27,000",,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222877,3 months ago,3 months ago
"150,000",,"Chaom Chau 1, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222840,3 months ago,3 months ago
"39,500",,"Krang Thnong, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222838,3 months ago,3 months ago
680,None,"Khmuonh, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222834,3 months ago,3 months ago
"16,000",,"Ponsang, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222830,3 months ago,3 months ago
"39,500",,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222798,3 months ago,3 months ago
"22,900",,"Kamboul, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222796,3 months ago,3 months ago
"68,000",,"Samraong Kraom, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222793,3 months ago,3 months ago
"18,000",,"Kantaok, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222785,3 months ago,3 months ago
"43,500",,"Prey Veaeng, Dangkao, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222735,3 months ago,3 months ago
"75,000",,"Ponhea Pon, Prek Pnov, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222734,3 months ago,3 months ago
"55,000",,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222732,3 months ago,3 months ago
"55,000",,"Sak Sampov, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222726,3 months ago,3 months ago
"170,000",,"Stueng Mean chey, Meanchey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222674,3 months ago,3 months ago
538,None,"Preaek Aeng, Chbar Ampov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222672,3 months ago,3 months ago
"350,000",,"Bak Kaeng, Chroy Changvar, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222666,3 months ago,3 months ago
"40,000",,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222602,3 months ago,3 months ago
"180,000",,"Ponhea Pon, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222600,3 months ago,3 months ago
"45,000",,"Ponhea Pon, Prek Pnov, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222598,3 months ago,3 months ago
"3,412,225",25,"Nitean, Basedth, Kampong Speu",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222564,15289,3 months ago
"14,500",,"Kamboul, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222558,3 months ago,3 months ago
"43,000",,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222557,3 months ago,3 months ago
"52,000",,"Khmuonh, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222553,3 months ago,3 months ago
"22,000",,"Ponhea Pon, Prek Pnov, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222529,3 months ago,3 months ago
