,Date,Open,High,Low,Close,Adj Close,Volume
73,3/11/2004,"3,848.30","3,848.30","3,848.30","3,848.30","3,848.30",-
74,3/12/2004,"3,853.80","3,853.80","3,853.80","3,853.80","3,853.80",-
75,3/15/2004,"3,853.80","3,853.80","3,853.80","3,853.80","3,853.80",-
76,3/16/2004,"3,850.40","3,850.40","3,850.40","3,850.40","3,850.40",-
77,3/17/2004,"3,850.60","3,850.60","3,850.60","3,850.60","3,850.60",-
78,3/18/2004,"3,854.10","3,854.10","3,854.10","3,854.10","3,854.10",-
79,3/19/2004,"3,853.00","3,853.00","3,853.00","3,853.00","3,853.00",-
80,3/22/2004,"3,850.70","3,850.70","3,850.70","3,850.70","3,850.70",-
81,3/23/2004,"3,850.70","3,850.70","3,850.70","3,850.70","3,850.70",-
82,3/24/2004,"3,850.90","3,850.90","3,850.90","3,850.90","3,850.90",-
83,3/25/2004,"3,845.70","3,845.70","3,845.70","3,845.70","3,845.70",-
84,3/26/2004,"3,847.10","3,847.10","3,847.10","3,847.10","3,847.10",-
85,3/29/2004,"3,852.80","3,852.80","3,852.80","3,852.80","3,852.80",-
86,3/30/2004,"3,853.80","3,853.80","3,853.80","3,853.80","3,853.80",-
87,3/31/2004,"3,849.70","3,849.70","3,849.70","3,849.70","3,849.70",-
88,4/1/2004,"3,853.20","3,853.20","3,853.20","3,853.20","3,853.20",-
89,4/2/2004,"3,851.80","3,851.80","3,851.80","3,851.80","3,851.80",-
90,4/5/2004,"3,849.70","3,849.70","3,849.70","3,849.70","3,849.70",-
91,4/6/2004,"3,849.30","3,849.30","3,849.30","3,849.30","3,849.30",-
92,4/7/2004,"3,845.10","3,845.10","3,845.10","3,845.10","3,845.10",-
93,4/8/2004,"3,850.70","3,850.70","3,850.70","3,850.70","3,850.70",-
94,4/9/2004,-,-,-,-,-,-
95,4/12/2004,-,-,-,-,-,-
96,4/13/2004,"3,847.30","3,847.30","3,847.30","3,847.30","3,847.30",-
97,4/14/2004,"3,846.90","3,846.90","3,846.90","3,846.90","3,846.90",-
98,4/15/2004,"3,846.00","3,846.00","3,846.00","3,846.00","3,846.00",-
99,4/16/2004,"3,844.80","3,844.80","3,844.80","3,844.80","3,844.80",-
100,4/19/2004,"3,847.40","3,847.40","3,847.40","3,847.40","3,847.40",-
101,4/20/2004,"3,844.80","3,847.40","3,844.80","3,847.40","3,847.40",-
102,4/21/2004,"3,844.60","3,844.60","3,844.60","3,844.60","3,844.60",-
103,4/22/2004,"3,844.40","3,844.40","3,844.40","3,844.40","3,844.40",-
104,4/23/2004,"3,849.30","3,849.30","3,849.30","3,849.30","3,849.30",-
105,4/26/2004,"3,847.50","3,847.50","3,847.50","3,847.50","3,847.50",-
106,4/27/2004,"3,851.40","3,851.40","3,851.40","3,851.40","3,851.40",-
107,4/28/2004,"3,845.20","3,845.20","3,845.20","3,845.20","3,845.20",-
108,4/29/2004,"3,846.40","3,846.40","3,846.40","3,846.40","3,846.40",-
